AIRLINE;TRIP;ROU;TYP;PAX;ST;SCHENGEN;AT;BT;POS;BELT;BOUND;HANDLING_TYPE;SIKA;BELT_FIRST;BELT_LAST;EG;LG;DAUER_AUSGABE;STOERGRUND_GD
AB;7222;AUH;32A;106;02.02.2016 09:45;0;02.02.2016 09:53;02.02.2016 09:41;15;;0;J;146;;;;;;
AB;6653;HAM;321;165;02.02.2016 09:45;1;02.02.2016 09:33;02.02.2016 09:36;35;31;1;J;210;02.02.2016 11:44;02.02.2016 11:44;128;128;0;
AB;6611;HAJ;DH4;62;02.02.2016 09:55;1;02.02.2016 10:52;02.02.2016 10:54;61D;32;1;J;76;02.02.2016 11:46;02.02.2016 11:46;52;52;0;
BE;7121;BHX;E75;53;02.02.2016 10:00;0;02.02.2016 09:39;02.02.2016 09:45;24;31;1;J;88;02.02.2016 10:12;02.02.2016 10:34;28;49;21;
AB;6837;DUS;DH4;38;02.02.2016 10:00;1;02.02.2016 10:10;02.02.2016 10:04;62D;;0;J;76;;;;;;
SK;658;CPH;CR9;30;02.02.2016 10:05;1;02.02.2016 10:16;02.02.2016 10:10;46;;0;J;88;;;;;;
BA;918;LHR;319;58;02.02.2016 10:05;0;02.02.2016 09:56;02.02.2016 10:02;16;30;1;J;143;02.02.2016 10:16;02.02.2016 10:35;15;34;19;
AF;1408;CDG;E70;76;02.02.2016 10:05;1;02.02.2016 10:02;02.02.2016 10:07;14*;41;1;J;76;02.02.2016 10:18;02.02.2016 10:35;12;29;17;
EW;4905;MXP;CR9;42;02.02.2016 10:10;1;02.02.2016 10:06;02.02.2016 10:10;64D;10;1;J;90;02.02.2016 10:21;02.02.2016 10:42;11;33;22;
4U;2759;VIE;319;97;02.02.2016 10:15;1;02.02.2016 09:59;02.02.2016 10:03;60;10;1;J;144;02.02.2016 11:44;02.02.2016 11:44;101;101;0;
DL;117;ATL;76W;111;02.02.2016 10:20;0;02.02.2016 10:15;02.02.2016 10:02;9;;0;J;225;;;;;;
LX;1176;ZRH;DH4;27;02.02.2016 10:20;1;02.02.2016 10:08;02.02.2016 10:13;45;31;1;J;76;02.02.2016 10:20;02.02.2016 10:22;8;9;1;
TK;1701;IST;321;60;02.02.2016 10:25;0;02.02.2016 10:29;02.02.2016 10:33;26;30;1;J;180;02.02.2016 11:43;02.02.2016 11:43;71;71;0;
LH;128;FRA;319;77;02.02.2016 10:30;1;02.02.2016 10:27;02.02.2016 10:33;11;11;1;J;138;02.02.2016 10:42;02.02.2016 10:49;9;16;7;
OS;178;VIE;100;33;02.02.2016 10:35;1;02.02.2016 10:32;02.02.2016 10:22;25;;0;J;100;;;;;;
BE;7122;BHX;E75;42;02.02.2016 10:40;0;02.02.2016 10:46;02.02.2016 10:35;24;;0;J;88;;;;;;
BA;917;LHR;319;68;02.02.2016 10:45;0;02.02.2016 10:53;02.02.2016 10:40;16;;0;J;143;;;;;;
4U;2964;SPU;319;105;02.02.2016 10:45;0;02.02.2016 10:55;02.02.2016 10:48;40;;0;J;144;;;;;;
AF;1409;CDG;E70;46;02.02.2016 10:50;1;02.02.2016 10:58;02.02.2016 10:48;14;;0;J;76;;;;;;
AB;6537;TXL;320;86;02.02.2016 10:50;1;02.02.2016 10:35;02.02.2016 10:38;12;11;1;J;180;02.02.2016 10:49;02.02.2016 11:43;12;65;53;
SU;2336;SVO;320;72;02.02.2016 10:55;0;02.02.2016 11:10;02.02.2016 11:13;15;30;1;J;140;02.02.2016 11:59;02.02.2016 11:59;45;45;0;
AB;6540;TXL;320;104;02.02.2016 10:55;1;02.02.2016 11:06;02.02.2016 10:58;53;;0;J;180;;;;;;
LX;1177;ZRH;DH4;54;02.02.2016 11:00;1;02.02.2016 11:29;02.02.2016 11:24;45;;0;J;76;;;;;;
LH;133;FRA;319;62;02.02.2016 11:05;1;02.02.2016 11:13;02.02.2016 11:03;11;;0;J;138;;;;;;
AB;8778;VCE;DH4;30;02.02.2016 11:10;1;02.02.2016 11:24;02.02.2016 11:20;61D;;0;J;76;;;;;;
